date_gps,l2_distance_mean,unixtime_delta_std,unixtime_delta_min,unixtime_delta_max,unixtime_delta_0,unixtime_delta_10,unixtime_delta_20,unixtime_delta_30,unixtime_delta_40,unixtime_delta_50,unixtime_delta_60,unixtime_delta_70,unixtime_delta_80,unixtime_delta_90,unixtime_delta_100
2020-10-01,3.126984126984127,5.824010544489479,0.0,33.0,0.0,0.0,0.0,1.0,1.0,2.0,2.1999999999999957,3.0,4.0,4.0,4.0
2020-10-02,2.675,3.837770317861431,0.0,27.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0
2020-10-03,3.0273972602739727,4.275162773833315,0.0,28.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.799999999999997,4.799999999999997
2020-10-04,4.2073170731707314,7.987239522023491,0.0,38.0,0.0,0.0,1.0,1.0,2.0,2.0,2.6000000000000014,3.6999999999999957,4.0,5.0,5.0
2020-10-05,2.5510204081632653,3.824598151493587,0.0,27.0,0.0,0.0,1.0,1.0,2.0,2.0,2.799999999999997,3.0,4.0,4.0,4.0
2020-10-06,2.5689655172413794,2.896531918809944,0.0,20.0,0.0,0.0,0.0,1.0,2.0,2.5,3.0,3.8999999999999986,4.0,4.0,4.0
2020-10-07,2.488888888888889,2.4459820691959875,0.0,15.0,0.0,0.0,0.8000000000000007,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0
2020-10-08,3.5925925925925926,5.8411851917606965,0.0,44.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
2020-10-09,3.247191011235955,5.002910286833065,0.0,41.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.5999999999999943,4.0,5.0,5.0
2020-10-10,3.0729166666666665,3.907468669549222,0.0,27.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0
2020-10-11,4.838235294117647,9.058038887150122,0.0,56.0,0.0,0.7000000000000002,1.0,2.0,2.8000000000000007,3.0,3.0,4.0,4.0,5.0,5.0
2020-10-12,2.5060240963855422,3.2773185573333508,0.0,28.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0
2020-10-13,2.8823529411764706,2.6204859813995354,0.0,18.0,0.0,0.0,1.0,1.1999999999999993,2.0,2.0,3.0,4.0,4.0,5.0,5.0
2020-10-14,1.9069767441860466,1.6279030681993334,0.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0
2020-10-15,2.9726027397260273,5.309772444223653,0.0,46.0,0.0,0.20000000000000018,1.0,1.5999999999999979,2.0,2.0,3.0,3.0,4.0,4.0,4.0
2020-10-16,4.511627906976744,10.057182608694337,0.0,65.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0
2020-10-17,3.1818181818181817,5.562390797809861,0.0,35.0,0.0,0.0,1.0,1.0,1.4000000000000021,2.0,3.0,3.0,4.0,4.0,4.0
2020-10-18,1.7142857142857142,1.56170528443914,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.200000000000003,4.0,4.0
2020-10-19,3.642857142857143,5.69027422706681,0.0,32.0,0.0,0.5,1.0,1.0,2.0,2.5,3.0,3.0,4.0,4.5,4.5
2020-10-20,2.6666666666666665,5.840985971316579,0.0,51.0,0.0,0.0,1.0,1.0,1.0,2.0,2.3999999999999986,3.0,3.0,4.0,4.0
2020-10-21,5.75,12.53811091640653,0.0,53.0,0.0,0.0,1.0,1.0,1.4000000000000021,2.0,3.0,3.0,4.0,6.799999999999997,6.799999999999997
2020-10-22,2.625,3.164225646767621,0.0,16.0,0.0,0.0,0.0,1.0,1.0,2.0,2.6000000000000014,3.0,4.0,4.899999999999999,4.899999999999999
2020-10-23,3.739130434782609,5.603311650200742,0.0,34.0,0.0,0.5,1.0,1.0,2.0,2.0,3.0,4.0,4.0,7.0,7.0
2020-10-24,1175.6883116883116,7232.932997317021,0.0,47667.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.1999999999999957,4.0,8.200000000000045,8.200000000000045
2020-10-25,5157.962962962963,13482.2511780782,0.0,40741.0,0.0,0.0,1.0,1.8999999999999986,2.0,2.0,3.0,4.0,5.400000000000006,39118.9,39118.9
2020-10-26,2525.281690140845,10442.113790092091,0.0,49516.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,6.0
2020-10-27,15409.09589041096,41156.381953864024,0.0,131201.0,0.0,0.20000000000000018,1.0,2.0,2.0,3.0,4.0,4.0,8.200000000000003,111710.59999999974,111710.59999999974
2020-10-28,6798.5,16235.548144118819,0.0,44901.0,0.0,0.0,1.0,2.0,3.0,3.5,4.0,4.5,5.0,43848.0,43848.0
2020-10-29,8288.731707317073,19271.11136355113,0.0,55277.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,17.799999999999983,54157.70000000001,54157.70000000001
2020-10-30,12008.4,24518.36357954482,0.0,64671.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,4.799999999999997,7852.4000000001115,63675.2,63675.2
2020-10-31,10.083333333333334,45.32043788839072,0.0,350.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,12.300000000000004,12.300000000000004
